ic_batch,batch_id,accession
old,200317B03,IDBD-D102393
old,200317B03,IDBD-D102394
old,200317B03,IDBD-D102395
old,200317B03,IDBD-D102397
old,200317B03,IDBD-D102398
old,200317B03,IDBD-D102399
old,200317B03,IDBD-D102400
old,200317B04,IDBD-D102401
old,200317B04,IDBD-D102402
old,200317B04,IDBD-D102403
old,200317B04,IDBD-D102404
old,200317B04,IDBD-D102406
old,200317B04,IDBD-D102409
old,200317B04,IDBD-D102412
old,200401B01,controlNeg
old,200402B01,controlNeg
old,200404B01,controlNeg
old,200405B01,controlNeg
old,191121B01,controlNeg
old,191123B01,controlNeg
old,191126B01,controlNeg
old,191127B01,controlNeg
old,191128B01,controlNeg
old,191130B01,controlNeg
old,191203B01,controlNeg
old,191206B01,controlNeg
old,191207B01,controlNeg
old,191209B01,controlNeg
old,191210B01,controlNeg
old,191211B01,controlNeg
old,191217B02,controlNeg
old,191218B01,controlNeg
old,191219B01,controlNeg
old,191220B01,controlNeg
old,191223B01,controlNeg
old,191223B04,controlNeg
old,191227B01,controlNeg
old,191231B01,controlNeg
old,200103B01,controlNeg
old,200104B01,controlNeg
old,200107B03,controlNeg
old,200108B01,controlNeg
old,200109B01,controlNeg
old,200110B01,controlNeg
old,200113B01,controlNeg
old,200116B02,controlNeg
old,200116B01,controlNeg
old,200117B01,controlNeg
old,200118B01,controlNeg
old,200121B01,controlNeg
old,200124B01,controlNeg
old,200125B01,controlNeg
old,200124B01,controlNeg
old,200127B01,controlNeg
old,200130B01,controlNeg
old,200129B01,controlNeg
old,200131B01,controlNeg
old,200131B01,controlNeg
old,200201B01,controlNeg
old,200204B01,controlNeg
old,200207B01,controlNeg
old,200208B01,controlNeg
old,200211B01,controlNeg
old,200211B02,controlNeg
old,200213B00,controlNeg
old,200213B01,controlNeg
old,200214B01,controlNeg
old,200215B01,controlNeg
old,200217B01,controlNeg
old,200218B01,controlNeg
old,200221B01,controlNeg
old,200224B01,controlNeg
old,200225B01,controlNeg
old,200226B01,controlNeg
old,200227B01,controlNeg
old,200227B02,controlNeg
old,200228B01,controlNeg
old,200229B01,controlNeg
old,200301B01,controlNeg
old,200303B01,controlNeg
old,200304B03,controlNeg
old,200305B01,controlNeg
old,200306B01,controlNeg
old,200308B01,controlNeg
old,200309B01,controlNeg
old,200310B01,controlNeg
old,200311B01,controlNeg
old,200311B03,controlNeg
old,200312B01,controlNeg
old,200314B01,controlNeg
old,200315B01,controlNeg
old,200316B01,controlNeg
old,200318B01,controlNeg
old,200319B01,controlNeg
old,200320B01,controlNeg
old,200321B01,controlNeg
old,200322B01,controlNeg
old,200323B01,controlNeg
old,200324B01,controlNeg
old,200325B01,controlNeg
old,200326B01,controlNeg
old,200327B01,controlNeg
old,200328B01,controlNeg
old,200329B01,controlNeg
old,200330B01,controlNeg
old,200331B01,controlNeg
old,200401B01,controlNeg
old,200402B01,controlNeg
old,200404B01,controlNeg
old,200405B01,controlNeg
new,200331B02,controlNeg
new,200331B03,controlNeg
new,200331B04,controlNeg
new,200331B02,IDBD-D102687
new,200331B02,IDBD-D102688
new,200331B02,IDBD-D102689
new,200331B02,IDBD-D102690
new,200331B02,IDBD-D102691
new,200331B02,IDBD-D102692
new,200331B02,IDBD-D102693
new,200331B03,IDBD-D102683
new,200331B03,IDBD-D102684
new,200331B03,IDBD-D102685
new,200331B03,IDBD-D102686
new,200331B03,IDBD-D102694
new,200331B04,IDBD-D102677
new,200331B04,IDBD-D102678
new,200331B04,IDBD-D102679
new,200331B04,IDBD-D102680
new,200331B04,IDBD-D102681
new,200331B04,IDBD-D102682
new,200331B04,IDBD-D102696